docname,topic,proportion
cv938_10706.txt,010,0.083439
cv938_10706.txt,026,0.044014
cv458_9000.txt,023,0.289188
cv458_9000.txt,001,0.249218
cv458_9000.txt,000,0.224619
cv458_9000.txt,018,0.15765
cv458_9000.txt,017,0.079326
cv847_20855.txt,000,0.307925
cv847_20855.txt,014,0.293654
cv847_20855.txt,009,0.235926
cv847_20855.txt,002,0.094549
cv847_20855.txt,017,0.067946
cv766_7983.txt,029,0.712248
cv766_7983.txt,003,0.062992
cv766_7983.txt,002,0.062959
cv766_7983.txt,007,0.059147
cv766_7983.txt,008,0.052605
cv766_7983.txt,001,0.025141
cv766_7983.txt,021,0.024908
cv759_15091.txt,032,1.0
cv619_13677.txt,003,0.326553
cv619_13677.txt,020,0.207389
cv619_13677.txt,001,0.178616
cv619_13677.txt,022,0.137273
cv619_13677.txt,010,0.090514
cv619_13677.txt,007,0.059654
cv550_23226.txt,009,0.997856
cv550_23226.txt,021,0.002144
cv735_20218.txt,000,0.721438
cv735_20218.txt,013,0.122885
cv735_20218.txt,028,0.084193
cv735_20218.txt,022,0.071484
cv279_19452.txt,024,0.542927
cv279_19452.txt,011,0.312192
cv279_19452.txt,018,0.100974
cv279_19452.txt,003,0.043907
cv386_10229.txt,008,0.34702
cv386_10229.txt,009,0.291855
cv386_10229.txt,002,0.200117
cv386_10229.txt,018,0.161008
cv536_27221.txt,001,0.292092
cv536_27221.txt,011,0.249854
cv536_27221.txt,000,0.246542
cv536_27221.txt,013,0.10127
cv536_27221.txt,018,0.080275
cv536_27221.txt,035,0.029967
cv393_29234.txt,025,0.595342
cv393_29234.txt,015,0.144732
cv393_29234.txt,000,0.112827
cv393_29234.txt,008,0.082685
cv393_29234.txt,017,0.064413
cv209_28973.txt,017,0.603555
cv209_28973.txt,003,0.166572
cv209_28973.txt,011,0.11184
cv209_28973.txt,026,0.100537
cv209_28973.txt,000,0.017496
cv974_24303.txt,004,0.392453
cv974_24303.txt,005,0.294381
cv974_24303.txt,017,0.117958
cv974_24303.txt,021,0.098331
cv974_24303.txt,002,0.096877
cv346_19198.txt,025,0.938866
cv346_19198.txt,001,0.061134
cv070_13249.txt,023,0.426325
cv070_13249.txt,004,0.26044
cv070_13249.txt,017,0.139441
cv070_13249.txt,007,0.084783
cv070_13249.txt,008,0.059343
cv070_13249.txt,038,0.029668
cv779_18989.txt,014,1.0
cv322_21820.txt,015,0.49286
cv322_21820.txt,021,0.154555
cv322_21820.txt,029,0.133742
cv322_21820.txt,020,0.112592
cv322_21820.txt,003,0.106251
cv623_16988.txt,000,0.335604
cv623_16988.txt,029,0.242439
cv623_16988.txt,005,0.150134
cv623_16988.txt,003,0.091638
cv623_16988.txt,008,0.063869
cv623_16988.txt,009,0.050926
cv623_16988.txt,016,0.041304
cv623_16988.txt,035,0.024086
cv091_7899.txt,007,0.942136
cv091_7899.txt,015,0.057864
cv647_15275.txt,020,0.938995
cv647_15275.txt,008,0.046925
cv647_15275.txt,011,0.01408
cv982_22209.txt,002,0.806032
cv982_22209.txt,009,0.117625
cv982_22209.txt,025,0.076343
cv020_9234.txt,019,0.339615
cv020_9234.txt,029,0.16978
cv020_9234.txt,001,0.16431
cv020_9234.txt,007,0.15322
cv020_9234.txt,000,0.090627
cv020_9234.txt,006,0.082448
cv869_24782.txt,001,0.347448
cv869_24782.txt,007,0.183967
cv869_24782.txt,005,0.163078
cv869_24782.txt,029,0.101341
cv869_24782.txt,004,0.085086
cv869_24782.txt,003,0.074704
cv869_24782.txt,025,0.044376
cv315_12638.txt,010,0.280941
cv315_12638.txt,029,0.265606
cv315_12638.txt,019,0.123495
cv315_12638.txt,000,0.0899
cv315_12638.txt,007,0.085834
cv315_12638.txt,021,0.077671
cv315_12638.txt,014,0.049288
cv315_12638.txt,023,0.027265
cv963_7208.txt,003,0.567568
cv963_7208.txt,017,0.207635
cv963_7208.txt,005,0.08407
cv963_7208.txt,013,0.078004
cv963_7208.txt,015,0.062722
cv154_9562.txt,029,0.790811
cv154_9562.txt,003,0.074702
cv154_9562.txt,014,0.073129
cv154_9562.txt,017,0.061358
cv632_9704.txt,006,0.608148
cv632_9704.txt,007,0.202592
cv632_9704.txt,027,0.099148
cv632_9704.txt,008,0.090113
cv155_7845.txt,015,0.447498
cv155_7845.txt,008,0.242763
cv155_7845.txt,022,0.151033
cv155_7845.txt,028,0.109431
cv155_7845.txt,034,0.049275
cv408_5367.txt,009,0.482268
cv408_5367.txt,026,0.197699
cv408_5367.txt,002,0.176889
cv408_5367.txt,016,0.092301
cv408_5367.txt,001,0.050844
cv138_13903.txt,003,0.441901
cv138_13903.txt,029,0.125414
cv138_13903.txt,004,0.090915
cv138_13903.txt,014,0.08444
cv138_13903.txt,001,0.082338
cv138_13903.txt,011,0.076955
cv138_13903.txt,019,0.07422
cv138_13903.txt,025,0.023817
cv021_17313.txt,001,0.38379
cv021_17313.txt,005,0.299094
cv021_17313.txt,003,0.158724
cv021_17313.txt,000,0.158391
cv810_13660.txt,004,0.436404
cv810_13660.txt,001,0.29369
cv810_13660.txt,013,0.10625
cv810_13660.txt,028,0.08495
cv810_13660.txt,026,0.078706
cv285_18186.txt,005,0.669961
cv285_18186.txt,002,0.330039
cv971_11790.txt,008,0.544035
cv971_11790.txt,021,0.129715
cv971_11790.txt,017,0.128038
cv971_11790.txt,016,0.077199
cv971_11790.txt,006,0.064323
cv971_11790.txt,026,0.056691
cv722_7571.txt,012,0.40488
cv722_7571.txt,028,0.243332
cv722_7571.txt,000,0.145394
cv722_7571.txt,018,0.126243
cv722_7571.txt,020,0.080151
cv621_15984.txt,020,0.64742
cv621_15984.txt,002,0.127006
cv621_15984.txt,010,0.090219
cv621_15984.txt,009,0.07825
cv621_15984.txt,008,0.057105
cv901_11934.txt,012,0.443961
cv901_11934.txt,018,0.388051
cv901_11934.txt,023,0.118103
cv901_11934.txt,001,0.049885
cv123_12165.txt,007,0.82945
cv123_12165.txt,026,0.08843
cv123_12165.txt,020,0.06238
cv123_12165.txt,031,0.01974
cv935_24977.txt,024,0.849033
cv935_24977.txt,003,0.081092
cv935_24977.txt,000,0.069875
cv107_25639.txt,004,0.393682
cv107_25639.txt,002,0.222337
cv107_25639.txt,007,0.118559
cv107_25639.txt,018,0.094829
cv107_25639.txt,001,0.067943
cv107_25639.txt,008,0.033136
cv107_25639.txt,010,0.029812
cv107_25639.txt,017,0.023818
cv107_25639.txt,035,0.015883
cv781_5358.txt,009,0.409254
cv781_5358.txt,003,0.334086
cv781_5358.txt,013,0.160903
cv781_5358.txt,005,0.095757
cv013_10494.txt,009,0.727332
cv013_10494.txt,008,0.135327
cv013_10494.txt,017,0.067879
cv013_10494.txt,027,0.049199
cv013_10494.txt,001,0.020264
cv787_15277.txt,003,0.44201
cv787_15277.txt,000,0.260984
cv787_15277.txt,006,0.161576
cv787_15277.txt,015,0.13543
cv832_24713.txt,000,0.555324
cv832_24713.txt,014,0.207318
cv832_24713.txt,009,0.120864
cv832_24713.txt,018,0.067139
cv832_24713.txt,006,0.035035
cv832_24713.txt,008,0.01432
cv724_15265.txt,003,0.719814
cv724_15265.txt,007,0.212429
cv724_15265.txt,024,0.067757
cv745_14009.txt,002,0.226633
cv745_14009.txt,004,0.174829
cv745_14009.txt,010,0.159474
cv745_14009.txt,024,0.108155
cv745_14009.txt,006,0.097355
cv745_14009.txt,029,0.093674
cv745_14009.txt,028,0.09231
cv745_14009.txt,025,0.04757
cv842_5702.txt,002,0.353412
cv842_5702.txt,001,0.205699
cv842_5702.txt,008,0.1772
cv842_5702.txt,000,0.130209
cv842_5702.txt,018,0.079018
cv842_5702.txt,021,0.054462
cv333_9443.txt,003,0.299463
cv333_9443.txt,001,0.189063
cv333_9443.txt,012,0.163846
cv333_9443.txt,009,0.158733
cv333_9443.txt,005,0.127496
cv333_9443.txt,023,0.0614
cv497_27086.txt,016,0.250551
cv497_27086.txt,000,0.236556
cv497_27086.txt,005,0.210486
cv497_27086.txt,015,0.162618
cv497_27086.txt,017,0.13979
cv095_28730.txt,014,0.374277
cv095_28730.txt,013,0.223753
cv095_28730.txt,000,0.157691
cv095_28730.txt,021,0.136911
cv095_28730.txt,002,0.107368
cv846_29359.txt,002,0.714839
cv846_29359.txt,025,0.203818
cv846_29359.txt,000,0.046495
cv846_29359.txt,006,0.034849
cv221_27081.txt,000,0.282389
cv221_27081.txt,015,0.220738
cv221_27081.txt,010,0.144985
cv221_27081.txt,023,0.132188
cv221_27081.txt,033,0.124005
cv221_27081.txt,020,0.05173
cv221_27081.txt,013,0.043964
cv400_20631.txt,032,0.953452
cv400_20631.txt,031,0.046548
cv170_29808.txt,015,0.232951
cv170_29808.txt,002,0.189718
cv170_29808.txt,007,0.180895
cv170_29808.txt,001,0.168706
cv170_29808.txt,011,0.138379
cv170_29808.txt,016,0.089351
cv216_20165.txt,008,0.422476
cv216_20165.txt,010,0.333253
cv216_20165.txt,002,0.244271
cv389_9611.txt,026,0.506017
cv389_9611.txt,001,0.294164
cv389_9611.txt,012,0.170555
cv389_9611.txt,003,0.029264
cv537_13516.txt,021,0.888864
cv537_13516.txt,003,0.111136
cv511_10360.txt,002,0.80761
cv511_10360.txt,014,0.109456
cv511_10360.txt,021,0.042013
cv511_10360.txt,015,0.04092
cv689_13701.txt,000,0.405548
cv689_13701.txt,009,0.277818
cv689_13701.txt,005,0.194033
cv689_13701.txt,026,0.122601
cv669_24318.txt,016,0.739585
cv669_24318.txt,002,0.175408
cv669_24318.txt,009,0.069989
cv669_24318.txt,004,0.015017
cv179_9533.txt,020,0.499815
cv179_9533.txt,010,0.351338
cv179_9533.txt,013,0.148847
cv633_29730.txt,011,0.409094
cv633_29730.txt,008,0.209837
cv633_29730.txt,013,0.208696
cv633_29730.txt,004,0.121492
cv633_29730.txt,035,0.050881
cv770_11061.txt,023,0.832789
cv770_11061.txt,008,0.087865
cv770_11061.txt,003,0.053017
cv770_11061.txt,002,0.026329
cv622_8583.txt,002,0.342933
cv622_8583.txt,001,0.251855
cv622_8583.txt,003,0.183449
cv622_8583.txt,010,0.098414
cv622_8583.txt,004,0.073058
cv622_8583.txt,020,0.043224
cv622_8583.txt,011,0.007067
cv517_20616.txt,006,0.395447
cv517_20616.txt,008,0.224264
cv517_20616.txt,003,0.124185
cv517_20616.txt,014,0.084218
cv517_20616.txt,002,0.067412
cv517_20616.txt,004,0.053561
cv517_20616.txt,032,0.050913
cv965_26688.txt,010,0.608366
cv965_26688.txt,000,0.250337
cv965_26688.txt,020,0.095268
cv965_26688.txt,022,0.046029
cv433_10443.txt,006,0.304246
cv433_10443.txt,002,0.220539
cv433_10443.txt,008,0.107009
cv433_10443.txt,004,0.084505
cv433_10443.txt,012,0.084418
cv433_10443.txt,014,0.067203
cv433_10443.txt,031,0.067085
cv433_10443.txt,007,0.064994
cv159_29374.txt,007,1.0
cv385_29621.txt,003,0.250676
cv385_29621.txt,018,0.211239
cv385_29621.txt,000,0.188225
cv385_29621.txt,022,0.156315
cv385_29621.txt,012,0.129415
cv385_29621.txt,025,0.064131
cv373_21872.txt,003,0.406102
cv373_21872.txt,010,0.22641
cv373_21872.txt,001,0.1115
cv373_21872.txt,030,0.101175
cv373_21872.txt,004,0.077591
cv373_21872.txt,029,0.077223
cv338_9183.txt,003,0.37159
cv338_9183.txt,017,0.255832
cv338_9183.txt,028,0.166506
cv338_9183.txt,007,0.121569
cv338_9183.txt,008,0.084503
cv906_12332.txt,003,0.450609
cv906_12332.txt,008,0.281712
cv906_12332.txt,028,0.151899
cv906_12332.txt,025,0.115781
cv907_3193.txt,018,0.607874
cv907_3193.txt,017,0.230099
cv907_3193.txt,003,0.093136
cv907_3193.txt,009,0.048547
cv907_3193.txt,000,0.020344
cv592_23391.txt,007,0.594044
cv592_23391.txt,031,0.158514
cv592_23391.txt,003,0.145879
cv592_23391.txt,000,0.054495
cv592_23391.txt,013,0.030532
cv592_23391.txt,021,0.016537
cv736_24947.txt,007,0.576004
cv736_24947.txt,027,0.169058
cv736_24947.txt,008,0.125313
cv736_24947.txt,004,0.113802
cv736_24947.txt,005,0.015824
cv505_12926.txt,012,0.350951
cv505_12926.txt,003,0.278189
cv505_12926.txt,016,0.233342
cv505_12926.txt,018,0.137518
cv034_29446.txt,000,0.457017
cv034_29446.txt,004,0.36953
cv034_29446.txt,020,0.139733
cv034_29446.txt,001,0.03372
cv795_10291.txt,009,0.885003
cv795_10291.txt,002,0.114997
cv706_25883.txt,008,0.399122
cv706_25883.txt,015,0.293165
cv706_25883.txt,014,0.228269
cv706_25883.txt,003,0.079445
cv898_1576.txt,008,0.887069
cv898_1576.txt,009,0.112931
cv880_29629.txt,000,0.686009
cv880_29629.txt,011,0.313991
cv943_23547.txt,025,0.430484
cv943_23547.txt,026,0.267149
cv943_23547.txt,015,0.147601
cv943_23547.txt,013,0.092552
cv943_23547.txt,007,0.062214
cv531_26838.txt,034,0.489039
cv531_26838.txt,015,0.206694
cv531_26838.txt,011,0.13388
cv531_26838.txt,000,0.099222
cv531_26838.txt,007,0.071165
cv086_19488.txt,019,0.435567
cv086_19488.txt,010,0.261826
cv086_19488.txt,003,0.168502
cv086_19488.txt,007,0.076093
cv086_19488.txt,022,0.058012
cv919_18155.txt,007,0.315474
cv919_18155.txt,014,0.29902
cv919_18155.txt,010,0.199775
cv919_18155.txt,003,0.140753
cv919_18155.txt,019,0.044978
cv645_17078.txt,020,0.361048
cv645_17078.txt,000,0.236451
cv645_17078.txt,001,0.172016
cv645_17078.txt,010,0.085619
cv645_17078.txt,035,0.076846
cv645_17078.txt,007,0.06802
cv651_11120.txt,000,0.635647
cv651_11120.txt,010,0.214347
cv651_11120.txt,034,0.103252
cv651_11120.txt,027,0.046754
cv860_15520.txt,000,0.75838
cv860_15520.txt,008,0.154956
cv860_15520.txt,005,0.086664
cv677_18938.txt,004,0.34179
cv677_18938.txt,003,0.27587
cv677_18938.txt,005,0.155699
cv677_18938.txt,025,0.099978
cv677_18938.txt,002,0.059841
cv677_18938.txt,032,0.04005
cv677_18938.txt,039,0.026771
cv139_14236.txt,009,0.425785
cv139_14236.txt,003,0.160687
cv139_14236.txt,014,0.118108
cv139_14236.txt,018,0.096306
cv139_14236.txt,024,0.0714
cv139_14236.txt,031,0.068617
cv139_14236.txt,012,0.059097
cv024_7033.txt,000,0.4468
cv024_7033.txt,001,0.174201
cv024_7033.txt,017,0.13989
cv024_7033.txt,035,0.07529
cv024_7033.txt,023,0.068145
cv024_7033.txt,013,0.065334
cv024_7033.txt,007,0.030341
cv562_10847.txt,012,0.522426
cv562_10847.txt,007,0.392364
cv562_10847.txt,003,0.08521
cv358_11557.txt,025,0.353918
cv358_11557.txt,005,0.222143
cv358_11557.txt,001,0.091388
cv358_11557.txt,009,0.063307
cv358_11557.txt,020,0.063097
cv358_11557.txt,018,0.062183
cv358_11557.txt,034,0.055835
cv358_11557.txt,022,0.048458
cv358_11557.txt,015,0.039673
cv969_14760.txt,004,1.0
cv099_11189.txt,004,0.545251
cv099_11189.txt,013,0.171331
cv099_11189.txt,008,0.084853
cv099_11189.txt,035,0.083057
cv099_11189.txt,019,0.067954
cv099_11189.txt,015,0.047553
cv964_5794.txt,011,0.314314
cv964_5794.txt,004,0.288946
cv964_5794.txt,005,0.234332
cv964_5794.txt,018,0.162408
cv120_3793.txt,004,0.414149
cv120_3793.txt,015,0.161081
cv120_3793.txt,028,0.154017
cv120_3793.txt,025,0.139182
cv120_3793.txt,007,0.066178
cv120_3793.txt,018,0.065393
cv072_5928.txt,001,0.274761
cv072_5928.txt,015,0.270101
cv072_5928.txt,004,0.221484
cv072_5928.txt,020,0.104409
cv072_5928.txt,012,0.075473
cv072_5928.txt,016,0.053772
cv200_29006.txt,027,0.697038
cv200_29006.txt,007,0.091613
cv200_29006.txt,017,0.071507
cv200_29006.txt,004,0.064494
cv200_29006.txt,002,0.044014
cv200_29006.txt,003,0.031334
cv952_26375.txt,011,0.348711
cv952_26375.txt,015,0.303441
cv952_26375.txt,024,0.158359
cv952_26375.txt,014,0.110286
cv952_26375.txt,004,0.079203
cv428_12202.txt,000,0.375421
cv428_12202.txt,020,0.220941
cv428_12202.txt,014,0.110366
cv428_12202.txt,017,0.077501
cv428_12202.txt,022,0.070092
cv428_12202.txt,008,0.059454
cv428_12202.txt,001,0.051073
cv428_12202.txt,035,0.03515
cv356_26170.txt,000,0.34952
cv356_26170.txt,001,0.236491
cv356_26170.txt,011,0.093429
cv356_26170.txt,002,0.07203
cv356_26170.txt,033,0.064302
cv356_26170.txt,003,0.049248
cv356_26170.txt,014,0.048578
cv356_26170.txt,009,0.045673
cv356_26170.txt,024,0.040729
cv909_9973.txt,015,0.396756
cv909_9973.txt,023,0.300998
cv909_9973.txt,016,0.156048
cv909_9973.txt,024,0.146197
cv319_16459.txt,009,0.725633
cv319_16459.txt,012,0.274367
cv195_16146.txt,022,0.219321
cv195_16146.txt,017,0.213187
cv195_16146.txt,025,0.197575
cv195_16146.txt,000,0.132222
cv195_16146.txt,001,0.114373
cv195_16146.txt,018,0.098358
cv195_16146.txt,024,0.024964
cv119_9909.txt,000,0.648244
cv119_9909.txt,019,0.228903
cv119_9909.txt,025,0.122853
cv444_9975.txt,021,0.416826
cv444_9975.txt,019,0.202871
cv444_9975.txt,029,0.167027
cv444_9975.txt,020,0.117129
cv444_9975.txt,017,0.096147
cv181_16083.txt,000,0.343752
cv181_16083.txt,025,0.312687
cv181_16083.txt,022,0.197568
cv181_16083.txt,017,0.085453
cv181_16083.txt,020,0.06054
cv833_11961.txt,016,0.40107
cv833_11961.txt,014,0.188056
cv833_11961.txt,008,0.155333
cv833_11961.txt,002,0.130207
cv833_11961.txt,022,0.081446
cv833_11961.txt,034,0.043888
cv197_29271.txt,015,0.687058
cv197_29271.txt,010,0.30648
cv197_29271.txt,013,0.006461
cv676_22202.txt,008,0.752552
cv676_22202.txt,024,0.100133
cv676_22202.txt,035,0.062695
cv676_22202.txt,014,0.061979
cv676_22202.txt,009,0.022641
cv870_18090.txt,002,0.779455
cv870_18090.txt,019,0.21226
cv870_18090.txt,020,0.008284
cv288_20212.txt,017,0.973297
cv288_20212.txt,014,0.026703
cv482_11233.txt,000,0.601801
cv482_11233.txt,002,0.198871
cv482_11233.txt,006,0.073605
cv482_11233.txt,010,0.059598
cv482_11233.txt,037,0.04106
cv482_11233.txt,025,0.025065
cv988_20168.txt,020,0.307815
cv988_20168.txt,022,0.230723
cv988_20168.txt,000,0.161157
cv988_20168.txt,009,0.108923
cv988_20168.txt,018,0.093234
cv988_20168.txt,010,0.080007
cv988_20168.txt,025,0.018141
cv863_7912.txt,007,0.338645
cv863_7912.txt,019,0.190066
cv863_7912.txt,008,0.186077
cv863_7912.txt,004,0.150283
cv863_7912.txt,022,0.13493
cv236_12427.txt,011,0.533661
cv236_12427.txt,007,0.120418
cv236_12427.txt,025,0.114275
cv236_12427.txt,018,0.094865
cv236_12427.txt,005,0.082444
cv236_12427.txt,013,0.054337
cv317_25111.txt,018,0.332718
cv317_25111.txt,017,0.307338
cv317_25111.txt,009,0.221336
cv317_25111.txt,007,0.058634
cv317_25111.txt,021,0.044614
cv317_25111.txt,015,0.03536
cv877_29132.txt,013,0.520488
cv877_29132.txt,006,0.151323
cv877_29132.txt,011,0.136195
cv877_29132.txt,002,0.097793
cv877_29132.txt,020,0.054876
cv877_29132.txt,005,0.039326
cv685_5710.txt,002,0.683477
cv685_5710.txt,004,0.264222
cv685_5710.txt,013,0.028516
cv685_5710.txt,018,0.023785
cv293_29731.txt,017,0.431304
cv293_29731.txt,001,0.345516
cv293_29731.txt,015,0.22318
cv250_26462.txt,011,0.719254
cv250_26462.txt,018,0.133956
cv250_26462.txt,008,0.090711
cv250_26462.txt,017,0.056079
cv459_21834.txt,008,0.25004
cv459_21834.txt,000,0.240002
cv459_21834.txt,007,0.171089
cv459_21834.txt,017,0.123242
cv459_21834.txt,010,0.100622
cv459_21834.txt,003,0.060448
cv459_21834.txt,025,0.054557
cv062_24556.txt,007,0.720957
cv062_24556.txt,027,0.228766
cv062_24556.txt,017,0.050277
cv939_11247.txt,011,0.6813
cv939_11247.txt,018,0.3187
cv940_18935.txt,022,1.0
cv467_26610.txt,011,0.287797
cv467_26610.txt,013,0.272662
cv467_26610.txt,000,0.222809
cv467_26610.txt,014,0.216732
cv932_14854.txt,018,0.41201
cv932_14854.txt,016,0.239412
cv932_14854.txt,006,0.189169
cv932_14854.txt,022,0.145077
cv932_14854.txt,013,0.014331
cv510_24758.txt,016,0.930404
cv510_24758.txt,014,0.069596
cv476_18402.txt,000,0.399503
cv476_18402.txt,011,0.240485
cv476_18402.txt,008,0.217122
cv476_18402.txt,009,0.088122
cv476_18402.txt,012,0.054768
cv620_2556.txt,012,0.332584
cv620_2556.txt,001,0.209609
cv620_2556.txt,007,0.166559
cv620_2556.txt,003,0.11404
cv620_2556.txt,000,0.100478
cv620_2556.txt,032,0.07673
cv702_12371.txt,012,0.393468
cv702_12371.txt,014,0.156119
cv702_12371.txt,007,0.141289
cv702_12371.txt,022,0.127492
cv702_12371.txt,035,0.097768
cv702_12371.txt,013,0.083864
cv584_29549.txt,016,0.529991
cv584_29549.txt,013,0.367339
cv584_29549.txt,024,0.10267
cv365_12442.txt,012,0.490893
cv365_12442.txt,008,0.165758
cv365_12442.txt,018,0.158434
cv365_12442.txt,004,0.08299
cv365_12442.txt,009,0.066505
cv365_12442.txt,005,0.035421
cv738_10287.txt,009,0.862035
cv738_10287.txt,028,0.137965
cv546_12723.txt,009,0.589721
cv546_12723.txt,015,0.216335
cv546_12723.txt,002,0.193944
cv219_19874.txt,025,0.938261
cv219_19874.txt,002,0.053621
cv219_19874.txt,010,0.008118
cv529_10972.txt,000,0.258295
cv529_10972.txt,001,0.2573
cv529_10972.txt,012,0.250356
cv529_10972.txt,023,0.119721
cv529_10972.txt,003,0.114328
cv350_22139.txt,008,0.745816
cv350_22139.txt,010,0.113373
cv350_22139.txt,020,0.076041
cv350_22139.txt,028,0.064771
cv292_7804.txt,009,0.36969
cv292_7804.txt,012,0.301356
cv292_7804.txt,005,0.125794
cv292_7804.txt,018,0.065389
cv292_7804.txt,008,0.051126
cv292_7804.txt,021,0.043691
cv292_7804.txt,023,0.042955
cv802_28381.txt,014,0.522947
cv802_28381.txt,010,0.237261
cv802_28381.txt,003,0.171592
cv802_28381.txt,024,0.0682
cv046_10613.txt,005,0.375412
cv046_10613.txt,012,0.22832
cv046_10613.txt,003,0.182208
cv046_10613.txt,002,0.104688
cv046_10613.txt,008,0.064031
cv046_10613.txt,022,0.045341
cv545_12848.txt,004,0.641831
cv545_12848.txt,000,0.294671
cv545_12848.txt,013,0.063498
cv180_17823.txt,014,0.499036
cv180_17823.txt,005,0.289043
cv180_17823.txt,000,0.110046
cv180_17823.txt,013,0.070936
cv180_17823.txt,025,0.03094
cv608_24647.txt,007,0.705789
cv608_24647.txt,004,0.156325
cv608_24647.txt,027,0.137886
cv708_28539.txt,015,0.505639
cv708_28539.txt,000,0.34197
cv708_28539.txt,026,0.081584
cv708_28539.txt,034,0.064369
cv708_28539.txt,003,0.006437
cv261_11855.txt,004,0.326887
cv261_11855.txt,000,0.214269
cv261_11855.txt,029,0.152025
cv261_11855.txt,010,0.101815
cv261_11855.txt,021,0.086393
cv261_11855.txt,009,0.084157
cv261_11855.txt,001,0.034454
cv102_8306.txt,036,1.0
cv712_24217.txt,018,0.588761
cv712_24217.txt,007,0.160224
cv712_24217.txt,010,0.140386
cv712_24217.txt,003,0.110629
cv700_23163.txt,015,0.582891
cv700_23163.txt,021,0.198089
cv700_23163.txt,017,0.127202
cv700_23163.txt,003,0.048588
cv700_23163.txt,004,0.023804
cv700_23163.txt,011,0.019426
cv391_11615.txt,005,0.414139
cv391_11615.txt,025,0.238103
cv391_11615.txt,009,0.139813
cv391_11615.txt,020,0.07176
cv391_11615.txt,013,0.069387
cv391_11615.txt,008,0.066798
cv268_20288.txt,017,0.656721
cv268_20288.txt,022,0.343279
cv710_23745.txt,007,0.684814
cv710_23745.txt,031,0.226714
cv710_23745.txt,013,0.057397
cv710_23745.txt,014,0.031076
cv519_16239.txt,015,0.603857
cv519_16239.txt,003,0.396143
cv966_28671.txt,001,0.312295
cv966_28671.txt,000,0.289645
cv966_28671.txt,013,0.142741
cv966_28671.txt,014,0.128234
cv966_28671.txt,018,0.064154
cv966_28671.txt,017,0.062931
cv686_15553.txt,003,0.358931
cv686_15553.txt,010,0.311138
cv686_15553.txt,005,0.159415
cv686_15553.txt,002,0.099922
cv686_15553.txt,001,0.070594
cv520_13297.txt,010,0.442451
cv520_13297.txt,014,0.227986
cv520_13297.txt,002,0.161452
cv520_13297.txt,016,0.095053
cv520_13297.txt,013,0.073058
cv560_18608.txt,010,0.347736
cv560_18608.txt,016,0.279401
cv560_18608.txt,002,0.147456
cv560_18608.txt,003,0.116287
cv560_18608.txt,009,0.07323
cv560_18608.txt,030,0.03589
cv343_10906.txt,006,0.313952
cv343_10906.txt,002,0.282062
cv343_10906.txt,019,0.206573
cv343_10906.txt,021,0.197413
cv701_15880.txt,034,0.891518
cv701_15880.txt,003,0.060506
cv701_15880.txt,027,0.036851
cv701_15880.txt,001,0.011124
cv499_11407.txt,004,0.414258
cv499_11407.txt,023,0.180404
cv499_11407.txt,007,0.143942
cv499_11407.txt,021,0.117693
